Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V Frame,,,,,,,,Vertices,,,,,,,,,,Science to Ideal Polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment,Sci2IdlDeg,Sci2IdlX00,Sci2IdlX10,Sci2IdlX11,Sci2IdlX20,Sci2IdlX21,Sci2IdlX22,Sci2IdlX30,Sci2IdlX31,Sci2IdlX32,Sci2IdlX33,Sci2IdlX40,Sci2IdlX41,Sci2IdlX42,Sci2IdlX43,Sci2IdlX44,Sci2IdlX50,Sci2IdlX51,Sci2IdlX52,Sci2IdlX53,Sci2IdlX54,Sci2IdlX55,Sci2IdlY00,Sci2IdlY10,Sci2IdlY11,Sci2IdlY20,Sci2IdlY21,Sci2IdlY22,Sci2IdlY30,Sci2IdlY31,Sci2IdlY32,Sci2IdlY33,Sci2IdlY40,Sci2IdlY41,Sci2IdlY42,Sci2IdlY43,Sci2IdlY44,Sci2IdlY50,Sci2IdlY51,Sci2IdlY52,Sci2IdlY53,Sci2IdlY54,Sci2IdlY55,Idl2SciX00,Idl2SciX10,Idl2SciX11,Idl2SciX20,Idl2SciX21,Idl2SciX22,Idl2SciX30,Idl2SciX31,Idl2SciX32,Idl2SciX33,Idl2SciX40,Idl2SciX41,Idl2SciX42,Idl2SciX43,Idl2SciX44,Idl2SciX50,Idl2SciX51,Idl2SciX52,Idl2SciX53,Idl2SciX54,Idl2SciX55,Idl2SciY00,Idl2SciY10,Idl2SciY11,Idl2SciY20,Idl2SciY21,Idl2SciY22,Idl2SciY30,Idl2SciY31,Idl2SciY32,Idl2SciY33,Idl2SciY40,Idl2SciY41,Idl2SciY42,Idl2SciY43,Idl2SciY44,Idl2SciY50,Idl2SciY51,Idl2SciY52,Idl2SciY53,Idl2SciY54,Idl2SciY55
NIRCAM,NRCA1_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.031139281223629328,0.031322317344598304,120.52546407006395,-527.5431321986372,-0.562789798433171,1,0,1,89.48459803258517,-0.562789798433171,-32.09063325935999,32.168165290303214,31.723386159291085,-31.658624425726813,-32.19041728995998,-32.16830196879733,31.945564324368867,32.0822624707485,2014-01-01,None,5,0.0,0.031139270573203783,0.0,-2.6478689607189484e-09,-2.0728141170157433e-07,3.458513613566995e-08,9.981364842292262e-12,-1.962326977287546e-12,1.1382764595793321e-11,-9.930966891768328e-13,7.549895427552612e-16,-8.429771521086597e-16,9.66802958047388e-16,-8.365663454645529e-16,1.7431228696624056e-16,1.412831405624928e-19,-9.60910552908913e-21,2.9034833520773784e-19,-7.886601562296206e-21,1.4538020584747372e-19,4.317156114143579e-22,0.0,-2.575447687359531e-05,0.031322317344598304,6.630385424209754e-08,-3.924780794587422e-08,-1.4301268526321142e-07,-5.668370030369835e-13,9.389665577078546e-12,-1.5174647869934676e-12,1.1021330139258843e-11,-1.2448546551204323e-16,6.749197967264988e-16,-1.0749273161662545e-15,6.447047915258214e-16,-8.815808662186257e-16,-3.7365835042944836e-21,1.585675778547018e-19,-1.6126926350745265e-20,2.9721796374688167e-19,-1.1329298384820741e-20,1.3699613093905208e-19,-0.028527672358748646,32.11322559593065,0.0008160809989539164,9.724034450877213e-05,0.006837758463837719,-0.001115878848781024,-1.1048178434918896e-05,2.0513456640692236e-06,-9.22196200616847e-06,2.956980391507066e-07,-2.4844526563352008e-08,1.4107811674216725e-08,-3.102494469653281e-08,1.4615384587546535e-08,-5.141010196756652e-09,-1.3624314865396012e-10,1.0087332235775173e-11,-2.828953548052546e-10,1.2629558757735363e-11,-1.4371485679034954e-10,3.1892064320921325e-12,-0.025760787585568323,0.026636640388259913,31.925227769160408,-0.0021666874414132337,0.0012950161768285873,0.004665378151718303,5.03408521475025e-07,-1.1374426328481252e-05,2.36656603594446e-06,-9.809848202244836e-06,5.321933907107562e-09,-2.2023992640693627e-08,2.505495633411715e-08,-2.1620782268153077e-08,1.9077403728661435e-08,2.550110742984486e-13,-1.441412706029028e-10,7.115100873460385e-12,-2.805575149719709e-10,6.261424851887065e-12,-1.3471913295963574e-10
NIRCAM,NRCA2_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030736460005613205,0.030835862527204005,119.58909897913519,-459.86330405774663,-0.21969951947477284,1,0,1,-90.2774540548771,179.78030048052523,31.36151314104763,-31.288890637921305,-31.635370537646732,31.69703060094713,31.598361352824238,31.60508052488769,-31.66550010184102,-31.51801710497789,2014-01-01,None,5,0.0,-0.030736444390298573,0.0,-3.1149836233525112e-09,-1.6349218195311907e-07,3.3249310065539335e-08,-9.474853147674024e-12,-2.0786847105919505e-12,-1.0019913842422207e-11,-4.94585422606919e-13,7.223121398045024e-16,4.209010093217014e-16,8.978177813475019e-16,4.291475520861067e-16,1.7385758512659294e-16,-1.4131608014522978e-19,1.0401014308734282e-20,-2.904227758445216e-19,9.303532089231941e-21,-1.454235139593428e-19,2.0646864903723851e-22,0.0,-3.098255546924044e-05,-0.030835862527204005,8.47333437435573e-08,-3.795642454154558e-08,-8.177876967539158e-08,-8.606805065075214e-13,-8.923978978866493e-12,-2.395933760411858e-12,-9.84147678567808e-12,2.2493457783591803e-16,5.972253844945627e-16,8.745903018063228e-16,5.393279332353821e-16,6.131193685694578e-16,3.0890535172418133e-21,-1.5852488643514804e-19,1.4710456600470953e-20,-2.971633635713262e-19,1.0572055964546463e-20,-1.3698306201685706e-19,-0.04120090074958682,-32.535659938048106,-0.0004596253407800066,-7.712973333706382e-05,-0.0056265278476505835,0.001154328546381189,1.1350119445779593e-05,2.0224130585433497e-06,1.0193437713092126e-05,9.909650865085578e-07,2.3825751409663254e-08,2.440774715826195e-08,2.818805370193542e-08,2.4516778466888335e-08,4.135539943197543e-09,1.3630277463180717e-10,-9.575788025498557e-12,2.828848521255797e-10,-1.1340762631934193e-11,1.436646015994565e-10,-2.4974936281772417e-12,-0.00940151464601513,0.033309561355173434,-32.43128780046061,0.002915691550500418,-0.0012712425689983837,-0.0027868966525992703,8.933323916316809e-07,1.1818931789968759e-05,1.7942427881121757e-06,1.082343070175661e-05,4.3402233540819225e-09,2.065716531240086e-08,3.1975525740265164e-08,1.954974430511813e-08,2.6639975331318487e-08,-9.47641681681201e-13,1.4420354559836025e-10,-8.34752780831881e-12,2.805594951689177e-10,-6.754338775229592e-12,1.3467660147278518e-10
NIRCAM,NRCA3_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.03128274269416802,0.03145508039272988,51.885582482944834,-527.9527524294303,0.27380526727242005,1,0,1,90.03176458999911,0.27380526727242005,-32.33623884409142,32.22029111428326,31.78588286615164,-31.885435687323838,-32.54282586323669,-32.09234455515067,32.20131216852278,32.09493606862199,2014-01-01,None,5,0.0,0.03128246356473385,0.0,-6.262177946040968e-08,-2.0943131634407492e-07,1.320031346258496e-08,1.0174203139266031e-11,3.192260492418107e-12,1.1310793064876315e-11,6.518694927526729e-13,-7.982222246685017e-16,-7.500987743104936e-16,-9.357652568292017e-16,-7.944044533921658e-16,-1.3318205367764893e-16,1.4132412078955491e-19,-1.1907569569314138e-20,2.905514480394322e-19,-1.218910488690446e-20,1.455280336177234e-19,-1.5503504751656538e-21,0.0,0.00013215063609868586,0.03145508039272988,6.589404148057343e-08,-8.056626352082917e-08,-1.446626517224215e-07,4.981174953521748e-13,9.595847293611803e-12,3.1506207250345115e-12,1.1065804395545112e-11,-9.55308472390631e-17,-7.316669062826146e-16,-9.855457206183636e-16,-6.748227293203044e-16,-8.61304943841583e-16,-1.6931852721429739e-21,1.5841229154546706e-19,-1.1918157555241023e-20,2.9707125268104583e-19,-9.21679691392428e-21,1.3698666738976288e-19,0.026724529889008863,31.965892805700122,-0.0007451425045145732,0.0020117711431857483,0.006811908855883364,-0.0004397278562761319,-1.0633279168691144e-05,-7.575974246552347e-07,-8.93930546188196e-06,-7.72409704646077e-07,2.174968976701283e-08,1.1667118170837659e-08,2.7168241881198894e-08,1.3240240660276567e-08,4.915164692534549e-09,-1.3637839872649114e-10,8.414081105467887e-12,-2.828225191523317e-10,8.663502096838168e-12,-1.4356169720060894e-10,1.1087265586544081e-12,0.008482493315568718,-0.13511212315026983,31.790468964720294,-0.002161799613304419,0.0025342095291375094,0.0046494133215884605,-7.83203042263714e-07,-1.0912875524551072e-05,-8.566326755871815e-07,-9.641342057634522e-06,4.945468091791079e-09,1.717025962298061e-08,2.3399526843090683e-08,1.6499716432218418e-08,1.8713846777850723e-08,2.343859451144688e-12,-1.4430899848761785e-10,1.0946103390327008e-11,-2.805736284325242e-10,7.8817444427458e-12,-1.34615599352451e-10
NIRCAM,NRCA4_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030875221271912563,0.03096205673895139,52.19455017805901,-459.97249016971165,0.08871159323578581,1,0,1,-89.95986089758783,-179.9112884067642,31.41361717816583,-31.519882566498527,-31.859777838181426,31.76088352358795,31.672099516375564,31.79139638372263,-31.82954527471584,-31.614490042630827,2014-01-01,None,5,0.0,-0.03087521017721311,0.0,-6.090471059758183e-08,-1.648811075986838e-07,1.4076247535391813e-08,-9.919179810764124e-12,1.0827254188475162e-12,-1.0267190518282319e-11,6.055250679497582e-13,-8.225418299399994e-16,5.208111141376618e-16,-1.015354851378007e-15,4.796039586601359e-16,-1.5091652665799068e-16,-1.412565532035823e-19,1.2051916944598967e-20,-2.90568684070865e-19,1.2744486647751788e-20,-1.455840343755253e-19,1.869623792580945e-21,0.0,-2.617446232548601e-05,-0.03096205673895139,8.500467376857998e-08,-7.810383619782707e-08,-8.230006563535015e-08,1.1381837367727895e-12,-9.545790472780124e-12,1.50513671437642e-12,-1.0076799752186411e-11,2.4836211883361267e-16,-7.821651130577501e-16,9.60953852361514e-16,-7.550780323079995e-16,6.361929426809499e-16,1.3205494026085268e-21,-1.5836781652125443e-19,1.1507916417650766e-20,-2.971025554600567e-19,9.21125016831965e-21,-1.3704042864629842e-19,0.04186604858799825,-32.38861350876711,0.000605444051576226,-0.0020920628522046905,-0.005597014467618368,0.0004608743451423761,1.1136418064608229e-05,-3.0387507465861513e-06,1.022021612555357e-05,-5.923802702807985e-07,-2.2220376020103993e-08,2.679019988015324e-08,-2.8780656862413766e-08,2.5818701414939364e-08,-5.23590070040572e-09,1.3633891428626105e-10,-8.034012324231645e-12,2.8278871944824876e-10,-8.08048192957504e-12,1.4355754974208135e-10,-8.677870845994147e-13,0.000692158404035581,0.026544303155840936,-32.29819427138876,0.0028860449293763514,-0.002664041562763283,-0.0027728826355487264,-4.5571769141494566e-07,1.162482724004203e-05,-2.752113875138337e-06,1.0786051517038287e-05,4.921305194342231e-09,-1.865212771758886e-08,3.397313771194988e-08,-1.8655961033576974e-08,2.713058961509061e-08,-2.5914036219422725e-12,1.4431916068003842e-10,-1.1571825238860425e-11,2.8062220099907985e-10,-8.271502115582303e-12,1.3464686386362425e-10
NIRCAM,NRCA5_FULL_OSS,NRCA_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.0627768115742693,0.06307626994293027,86.03901141872869,-493.3857038417111,-0.073851265755719,1,0,1,89.8430694276156,-0.073851265755719,-65.30212303488098,65.24305098564926,63.72072720739343,-63.758744138042125,-65.27472291477143,-64.59106625320472,64.54589855621312,64.83133754254624,2014-01-01,None,5,0.0,0.06277674557948038,0.0,-1.1983647335302031e-07,-7.244807505775117e-07,9.721046535057193e-08,9.094661041997167e-11,5.782468597491763e-12,9.665181155812592e-11,2.1640060288177544e-13,-6.449038115869934e-16,-2.9495762538442908e-15,-2.1179371460070292e-16,-3.191824242088728e-15,3.5906204048455326e-16,4.706941538958384e-18,-4.879315376187496e-19,9.531355664635004e-18,-5.143162171129567e-19,4.7168480802408804e-18,-4.3544241730023594e-20,0.0,9.102681200381189e-05,0.06307626994293027,3.086258377388918e-07,-2.2870972982531532e-07,-4.2398549228658225e-07,6.696189796258268e-13,8.751405385759116e-11,6.481047139577151e-12,9.762139471915265e-11,1.4545961098135382e-15,-1.146884680565914e-15,-5.078890561912942e-16,-1.085359391846901e-15,-2.0152743588817973e-15,-9.296183515265389e-20,5.275517470310141e-18,-5.986044579428994e-19,9.736970732740994e-18,-4.941571953195924e-19,4.410393661077232e-18,-0.0016068026847904093,15.929856743318442,-1.0721210036541973e-05,0.00048271565770269416,0.0029324994096068193,-0.00038994729611522427,-6.181790050341375e-06,1.704997124234195e-07,-5.4924065207700775e-06,-1.7414915722194205e-07,-6.600092079204043e-10,-3.7994370832503e-09,-4.5002421106415173e-10,-3.48506269432795e-09,1.7303260866865329e-10,-5.999015796439542e-11,6.325812350975394e-12,-1.2148371022005459e-10,7.573478292656561e-12,-6.053447585998926e-11,1.2144071643767137e-12,-0.0067809390043294115,-0.023142647813850746,15.854356066329627,-0.0012447114520218842,0.0009119151347307464,0.0016993083391931582,-1.4993942096944746e-07,-6.450451269943015e-06,1.968853925968188e-07,-5.931127954103741e-06,3.124699039332875e-10,-1.0297809828814884e-09,-2.4856428834122686e-09,-9.314930747598308e-10,-2.505780246788893e-09,9.811118954903342e-13,-6.284891892869386e-11,7.045014588881228e-12,-1.192566344000974e-10,6.106208225241262e-12,-5.5829416511535136e-11
NIRCAM,NRCB1_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030728930565768392,0.030829384243440547,-120.9695129284947,-457.78877722743977,0.3665986996931565,1,0,1,-89.57306239178865,-179.63340130030684,31.28340097084496,-31.35454894131131,-31.68676941836939,31.62717041725555,31.600620934148036,31.595611478747966,-31.506559446726392,-31.658500272753773,2014-01-01,None,5,0.0,-0.030728913525868255,0.0,3.976142529073389e-09,-1.6213007721725648e-07,-3.332486727788516e-08,-9.427311520621009e-12,2.1824833494830857e-12,-1.0050878725141753e-11,5.309806448924798e-13,-7.024888355119534e-16,4.527607727507455e-16,-8.684765281272699e-16,4.642163246480873e-16,-1.6832910540276103e-16,-1.4151164638239936e-19,-1.1985958633037837e-20,-2.906804494329643e-19,-1.0974586470553306e-20,-1.455137282548836e-19,-4.1403764468372695e-22,0.0,3.2361018617846154e-05,-0.030829384243440547,8.526388862867027e-08,3.8564235080873454e-08,-7.973280508089633e-08,8.929684857847257e-13,-8.982522641090412e-12,2.4905455941796365e-12,-9.984034451279794e-12,2.3086199676327916e-16,-5.761032707690348e-16,9.25428286707465e-16,-5.152549077046814e-16,6.567072705432049e-16,-3.917203804432785e-21,-1.5886657895564737e-19,-1.7350352862689243e-20,-2.9764001954288736e-19,-1.2359755464718398e-20,-1.3713605081596448e-19,0.04150858094052268,-32.543698176810544,0.0004285647541885651,0.00010628323252023112,-0.005581457470489997,-0.0011576165009486014,1.1323882899935202e-05,-2.108175945285772e-06,1.0291390325767666e-05,-1.0207803759155546e-06,-2.316154799022467e-08,2.5244820020841892e-08,-2.7239526743361497e-08,2.5509247014450196e-08,-3.936069861479873e-09,1.358992561649951e-10,1.179792979442744e-11,2.8251877934040956e-10,1.392951582952274e-11,1.4367249040493082e-10,2.9156778989267953e-12,-0.011304205459964578,-0.034823761935084185,-32.438114617507885,0.0029361899950394797,0.0012934085910868175,-0.002716577809592099,-9.276407889013318e-07,1.1891541502856488e-05,-1.880957141572205e-06,1.1018768235973107e-05,4.585448398866678e-09,-2.0023824134900986e-08,3.342232714530503e-08,-1.8840952021212826e-08,2.7927339318093173e-08,1.1107818454224391e-12,1.4382624421575126e-10,1.0455597999457276e-11,2.802148677420643e-10,8.700274330948575e-12,1.34708266279021e-10
NIRCAM,NRCB2_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.031128911127109523,0.03130862787629862,-121.15468437050718,-525.4781411837678,0.8595516488986602,1,0,1,90.82477063257419,0.8595516488986602,-32.15143511073431,32.08098315225861,31.652340677353173,-31.71162721463421,-32.1405172203863,-32.182767186751015,32.066244937735185,31.938998798618027,2014-01-01,None,5,0.0,0.031128905391584322,0.0,5.1384853367978735e-09,-2.0535948800877198e-07,-3.4180685807992255e-08,9.773263679870312e-12,1.6790702445323002e-12,1.1132328812237967e-11,8.99021147522859e-13,-7.150901622950845e-16,-8.127114791116581e-16,-9.202158636452432e-16,-8.039719721534579e-16,-1.6701191944476272e-16,1.4142825533353936e-19,1.113446433889872e-20,2.9058787353690744e-19,9.598686912118948e-21,1.454852498056179e-19,-1.7115921178515422e-22,0.0,1.889659428286523e-05,0.03130862787629862,6.688439414530556e-08,4.1733160820506375e-08,-1.4062486241859723e-07,4.861368178560239e-13,9.176578749576762e-12,1.2440814562644687e-12,1.0780259891119544e-11,-1.1877805219938593e-16,-6.440281209463579e-16,-1.0289047336843914e-15,-6.168630192959932e-16,-8.420027987228417e-16,4.484727954996859e-21,1.5890414579169775e-19,1.8797918726492256e-20,2.977409103131722e-19,1.3241840649533832e-20,1.3718945391061222e-19,0.027020484067911354,32.12399554925821,-0.00082332426868853,-0.00017744784573421726,0.006785541533378922,0.0011049743122160745,-1.0868542561933512e-05,-1.8404457245305243e-06,-9.063250786580216e-06,-2.1372214399247526e-07,2.365809689787427e-08,1.3207310258480146e-08,2.9751095164478773e-08,1.3642256559113744e-08,4.930888216674647e-09,-1.3579290232734653e-10,-1.2192528454490555e-11,-2.825161267426985e-10,-1.513008426737763e-11,-1.4374756051974243e-10,-3.6011570794251577e-12,-0.029708389794905088,-0.01957345094079943,31.939226176768013,-0.0021870380160750776,-0.0013729441043958406,0.004596634193503198,-4.187224049574481e-07,-1.118429247460694e-05,-2.153539741479208e-06,-9.643517119030628e-06,5.0631808135398714e-09,2.1120925834728394e-08,2.360013905971629e-08,2.0906627402859484e-08,1.7862549567995778e-08,-4.2915604687568905e-13,-1.4373821242510064e-10,-9.326040382988853e-12,-2.8023681387993235e-10,-8.31303115184899e-12,-1.3479477927023112e-10
NIRCAM,NRCB3_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030871906043080963,0.03095742394301327,-53.13993446339103,-457.8217399794005,-0.43660166890663277,1,0,1,-90.39856852606466,179.56339833109337,31.520565948035543,-31.40942052722163,-31.754902335751318,31.857550025775115,31.796288412887762,31.66455088404909,-31.613368903844368,-31.81629916995672,2014-01-01,None,5,0.0,-0.030871899241457335,0.0,6.180922438445047e-08,-1.6385497550557215e-07,-1.3028625067731666e-08,-1.0129131364807828e-11,-1.2799522996949129e-12,-1.048478401307016e-11,-6.667040048848561e-13,8.618749103356261e-16,5.680662666473083e-16,1.0675121007083502e-15,5.214385627283317e-16,1.6073367730989476e-16,-1.4158508034023226e-19,-1.392117268170636e-20,-2.9086784612700063e-19,-1.447732023462652e-20,-1.4562940750676714e-19,-2.000662583520796e-21,0.0,2.049287986113449e-05,-0.03095742394301327,8.584379113646345e-08,7.810313021998466e-08,-8.048016047791248e-08,-1.2146827970400009e-12,-9.789398561030283e-12,-1.7250088537328331e-12,-1.0286897665811176e-11,2.6419021129919896e-16,8.18742617728756e-16,1.0268706744011009e-15,7.909546510352518e-16,6.812978849879063e-16,-2.29889762927401e-21,-1.5872112796998238e-19,-1.3867546142371116e-20,-2.974592025779747e-19,-1.0527567037924382e-20,-1.3709275266690491e-19,-0.043205282438812276,-32.39200059669788,-0.0005000977982118904,0.0021257683051478763,-0.005563039283217604,-0.0004244777817128762,1.135090932207236e-05,3.224042037464191e-06,1.0473031387129564e-05,6.611542195535783e-07,2.3343285881133674e-08,2.8268551288670568e-08,3.030263947879403e-08,2.714223022099665e-08,5.496948470633275e-09,1.3606021579043861e-10,1.0518398017930528e-11,2.824395774707007e-10,1.0746769132620697e-11,1.4349273364708825e-10,1.2131711900605877e-12,-0.00022561541300092358,-0.020516027902103412,-32.302954158048514,0.0029156362182276426,0.002667957972316697,-0.0027111854624376967,5.150929211048219e-07,1.1870117612287083e-05,2.929068105384947e-06,1.103399414598483e-05,5.237538223835748e-09,1.9658673763814203e-08,3.5822355641287624e-08,1.972391643979451e-08,2.8501797078446465e-08,2.8148323892899144e-12,1.439990701058828e-10,1.351914854194798e-11,2.802052064352726e-10,9.950324439997787e-12,1.3457277147473683e-10
NIRCAM,NRCB4_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.03127638624609992,0.031441321416278305,-52.84570250197709,-525.7293209330119,-0.31680497988623335,1,0,1,89.92231209444203,-0.31680497988623335,-32.21085444740377,32.32994750596622,31.881891123587703,-31.77910894837816,-32.07621089162323,-32.52412601198265,32.08574452189715,32.18778386549307,2014-01-01,None,5,0.0,0.031276113874480094,0.0,6.367420993008602e-08,-2.082412854394354e-07,-1.2807677787925987e-08,1.0256504197450389e-11,-3.1723982233342803e-12,1.1218953547127305e-11,-6.559418715571757e-13,8.28252825367161e-16,-7.006754245301077e-16,9.704394750481319e-16,-7.487464731830889e-16,1.3978982351823644e-16,1.415778315782567e-19,1.3608895217262524e-20,2.9084015971440065e-19,1.3900429402398405e-20,1.4561003099754321e-19,1.7366482718961676e-21,0.0,-0.00013052787358342166,0.031441321416278305,6.644735543198626e-08,8.094405904120703e-08,-1.4247047709558022e-07,-4.812445021116336e-13,9.532401740639128e-12,-3.1131021568107077e-12,1.0849739257712003e-11,-7.996900421844253e-17,7.53894393179438e-16,-9.149998666828017e-16,6.94882043052028e-16,-8.113860436053838e-16,2.5702525339804312e-21,1.5874738019665831e-19,1.4435658053794612e-20,2.9748879246428335e-19,1.0817964375026323e-20,1.3709829995635263e-19,-0.025122900565847317,31.97232670603827,0.0008498520593207826,-0.0020498688837765904,0.006779453150337653,0.00042633572667287266,-1.0715205699667447e-05,7.078046835244007e-07,-8.903194681525376e-06,7.562641805228627e-07,-2.2498891955829317e-08,1.0032048360196028e-08,-2.7938320006973756e-08,1.176769916674141e-08,-5.03098594611667e-09,-1.360375789188226e-10,-1.073719390714008e-11,-2.824573352383817e-10,-1.1274677212832924e-11,-1.4352310544281415e-10,-1.4923076876876408e-12,0.00921179082524759,0.13359692933487072,31.804379977994426,-0.0021825223203408286,-0.002552966883557695,0.004586454999564754,7.745453587152635e-07,-1.0867950909139314e-05,8.170619131926263e-07,-9.492202686205949e-06,4.5778229617433354e-09,-1.7743197106781786e-08,2.126176389527672e-08,-1.6948869408817768e-08,1.715699720556419e-08,-2.5349237841201146e-12,-1.4397321788268033e-10,-1.300965134241511e-11,-2.8020779112207436e-10,-9.73740211265022e-12,-1.3459356375554751e-10
NIRCAM,NRCB5_FULL_OSS,NRCB_CNTR,OSS,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.06287866297924938,0.06317477001781768,-89.59651439128646,-491.474153244519,0.008057715335468174,1,0,1,-89.91498299353484,-179.99194228466453,63.8599642347324,-63.837809908508866,-65.35211796341052,65.39679984032001,64.94620333325798,64.65814946709558,-64.69269862711154,-65.35452405350098,2014-01-01,None,5,0.0,-0.06287860625743814,0.0,1.1471623634686819e-07,-7.22182210796603e-07,-9.801694942526174e-08,-9.14290014526131e-11,6.113943682121453e-12,-9.70888355095326e-11,3.8934601761417724e-13,1.2573099370373377e-16,-2.39813070664226e-15,-4.0172926884967386e-16,-2.6249914819125745e-15,-4.528896052611143e-16,-4.758685308339948e-18,-5.586989498063457e-19,-9.628690796428565e-18,-5.882076712892546e-19,-4.762366140509011e-18,-5.2992645672090443e-20,0.0,8.445815583801198e-05,-0.06317477001781768,3.1193570234019607e-07,2.2503692844357811e-07,-4.182888414401245e-07,1.044118661280496e-12,-8.799664763362612e-11,6.9085904694105e-12,-9.809152146133944e-11,1.633045522275913e-15,6.820391591123792e-16,4.102067870400813e-16,6.835679162270667e-16,-1.313947498118989e-15,-1.281105959666866e-19,-5.3408204487120905e-18,-7.086330757744394e-19,-9.848456187105896e-18,-5.678376054039296e-19,-4.456094815894252e-18,-0.002075257036608491,-15.904089536925754,1.3514789985637297e-05,0.0004598777769242294,-0.0029087769922177186,-0.00039119789991087957,6.187513888328869e-06,1.2076304741233666e-07,5.50847351831206e-06,-1.8652809675909888e-07,-1.0920002921020206e-09,4.266840077838407e-09,-9.91087647815256e-10,3.961862923878666e-09,8.163707310339635e-11,5.969233010356894e-11,7.44914690568949e-12,1.2107687677481195e-10,8.88945799337801e-12,6.04043627523347e-11,1.4401657322842333e-12,0.006020974745297281,-0.021451824426413187,-15.829694410111932,0.0012520873152519053,0.0008932916353266102,-0.0016682166208544446,-1.6058766206742057e-07,6.45944515127928e-06,1.5543042190910342e-07,5.9463660973951185e-06,-1.738568894031628e-10,-1.3781012023821156e-09,3.22840671916351e-09,-1.2661220669611685e-09,3.0921680210431334e-09,1.0728291314783682e-12,6.259117369878933e-11,8.03918011567606e-12,1.189167492233786e-10,7.009329257638402e-12,5.571118383782017e-11
